id,topic,from,to,contents,date,type,party,state,constituency,constituency_type
4066,Railway Line Projects,"['Singh, Shri Sunil Kumar']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) whether the Parliamentary Standing Committee submitted a report recommending review of various pending railway projects at regular intervals to expedite the evacuation of coal and if so, the details thereof; (b) the recommendations in the said report regarding Barwadih-Chirmiri Rail Line Project and Chatra-Gaya New Rail Line; (c) whether a coordination mechanism has been developed by the Ministry of Railways, Ministry of Coal and Joint Stakeholders for the said railway line projects; (d) if so, the details thereof and if not, the reasons therefor; and (e) whether the Railways had written any letter to Coal India Limited regarding the aforesaid rail line projects; (f) if so, the dates on which Coal India Limited received letters from the Railways in this regard; and (g) whether Coal India Limited has sent any reply in this regard and if so, the details thereof and if not, the reasons therefor? 753",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Jharkhand'],['Chatra'],['']
4067,Nuclear Reactors,"['Yadav, Shri Shyam Singh']",PRIME MINISTER,"Will the PRIME MINISTER be pleased to state: (a) whether the Government is planning to add new nuclear reactors in the near future to augment its present 7 GW total installed nuclear energy capacity; (b) if so, the details thereof; (c) whether the Government has any plans of phasing out nuclear reactors in view of reports of many countries phasing out their nuclear power stations and in light of Indias net zero commitment at COP 26 and if so, the details thereof; and (d) if not, whether the Government is planning to continue adding new nuclear reactors in the future?",2021-12-22,UNSTARRED,['Bahujan Samaj Party'],['Uttar Pradesh'],['Jaunpur'],['']
4068,PM Gati Shakti NMP,"['Singari, Dr. Sanjeev Kumar']",COMMERCE AND INDUSTRY,"Will the Minister of COMMERCE AND INDUSTRY be pleased to state: (a) whether the Government has launched the PM Gati Shakti - National Master Plan (NMP) for multi-modal connectivity in the country and if so, the details thereof; (b) whether the Government proposes to develop a GIS based ERP system in collaboration with Bhaskaracharya National Institute for Space Applications and Geo-informatics; (c) if so, the details thereof; (d) whether this will enable all stakeholders for better evidence-based decision-making, administration and effective monitoring of the Master Plan on a periodic and real time basis; and (e) if so, the details thereof?",2021-12-22,UNSTARRED,['Yuvajana Sramika Rythu Congress Party'],['Andhra Pradesh'],['Kurnool'],['']
4069,Railway Mazdoor Unions,"['Baij, Shri Deepak']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) whether the tenure of the recognized Railway Mazdoor Unions is over since April, 2019; (b) the reasons for delay in the election process of the said unions along with the time by when elections are likely to be held; (c) the manner in which the loss suffered due to delayed elections to union is likely to be compensated; (d) whether the railway administration has done away with the process of secret voting; (e) whether recognized unions are still being provided facilities even after their tenure has been over; and (f) if so, the details thereof and the reasons therefor?",2021-12-22,UNSTARRED,['Indian National Congress'],['Chhattisgarh'],['Bastar'],['ST']
4070,People under Below Poverty Line,"['Bhagirath Choudhary, Shri', 'Bordoloi, Shri Pradyut']",PLANNING,"Will the Minister of PLANNING be pleased to state: (a) whether the Government has any data of people under below poverty line in the country and if so, the details thereof, State/UT-wise including Rajasthan along with the criteria fixed by the Government and trend of the population living below poverty line for the last ten years, State-wise; (b) whether the last official estimate of population below the poverty line was done in 2011-2012 and if so, the reasons for not updating the figure based on latest available data; (c) whether the population of poor has increased in size/ number, based on the poverty line established by the Tendulkar Committee and if so, the details thereof and if not, the supporting evidence thereof; (d) the steps taken or being taken by the Government to address the issue of poverty and upliftment of poor people of the country during the last five years; and (e) whether the consumer expenditure survey scheduled to be conducted in the year 2021 is likely to be undertaken and if so, the details thereof and if not, the reasons for delay in this regard?",2021-12-22,UNSTARRED,"['Bharatiya Janata Party', 'Indian National Congress']","['Rajasthan', 'Assam']","['Ajmer', 'Nawgong']","['', '']"
4071,Review of Rationalisation of Autonomous Bodies,"['Chazhikadan, Shri Thomas']",PLANNING,"Will the Minister of PLANNING be pleased to state: (a) whether any review has been undertaken by the Government on the rationalistation of Autonomous Bodies under various Ministries and Departments under the Central Government; (b) whether the Government is planning to rationalise/ merge Commodity Boards as one entity and shift their headquarters from the major areas of production to a centralised location like Delhi and if so, provide the rationale behind the decision; (c) whether the Government has assessed the deleterious effects of this move on the lakhs of farmers from Kerala who are dependent on cultivation of commodities promoted by various commodity boards like Coconut Development Board, Rubber Board and Spice Board; and (d) if so, the details thereof?",2021-12-22,UNSTARRED,['Kerala Congress (M)'],['Kerala'],['Kottayam'],['']
4072,Broadband Internet,"['Pandey, Shri Ritesh']",COMMUNICATIONS,"Will the Minister of COMMUNICATIONS be pleased to state: (a) whether a large part of the rural population is deprived of broadband/internet facility, if so, the details thereof and the reasons therefor along with the number of villages provided with internet connectivity under the BharatNet project so far, State/UT-wise; (b) whether the Government has not been successful in achieving the target fixed for providing internet/broadband connectivity to villages and if so, the details thereof; and 754 (c) whether the Government has reviewed the broadband project design for rural areas and if so, the details thereof?",2021-12-22,UNSTARRED,['Bahujan Samaj Party'],['Uttar Pradesh'],['Ambedkar Nagar'],['']
4073,Services of BSNL,"['Kora, Smt. Geeta', 'Sharma, Shri Jugal Kishore']",COMMUNICATIONS,"Will the Minister of COMMUNICATIONS be pleased to state: (a) whether the services of Bharat Sanchar Nigam Ltd. remain disturbed in Jharkhand and Jammu & Kashmir and if so, the details thereof; (b) whether the Government has received complaints from the State Governments; and (c) if so, the details thereof and the response of the Government thereto?",2021-12-22,UNSTARRED,"['Indian National Congress', 'Bharatiya Janata Party']","['Jharkhand', 'Jammu and Kashmir']","['Singhbhum', 'Jammu']","['ST', '']"
4074,Fake  Messages,['Kunwar Danish Ali'],ELECTRONICS AND INFORMATION TECHNOLOGY,"Will the Minister of ELECTRONICS AND INFORMATION TECHNOLOGY be pleased to state: (a) whether the Government is aware that the Supreme Court has expressed concern over the origin and spread of fake messages on social media platforms like WhatsApp and Facebook which involves the sovereignty of the State, privacy of an individual and prevention of illegal activities and if so, the details thereof; (c) whether the Government has any plan in this regard and if so, the details of the steps being taken by the Government to trace the originator of fake messages at the same time and if not, the reasons therefor?",2021-12-22,UNSTARRED,['Bahujan Samaj Party'],['Uttar Pradesh'],['Amroha'],['']
4075,Promotion of Scientific Assistants,"['Kirtikar, Shri Gajanan Chandrakant']",EARTH SCIENCES,"Will the Minister of EARTH SCIENCES be pleased to state: (a) whether Scientific Assistants of all other Departments, like ISRO etc., except those in the India Meteorological Department are placed in Level 7 of pay Matrix; (b) if so, whether there is any proposal under consideration to place the Scientific Assistants of IMD in Level 7 of the Pay Matrix; (c) whether it is a fact that promotional prospects of Scientific Assistants of IMD is very poor; (d) if so, whether there is any proposal on the lines of other Departments to promote Scientific Assistants of IMD in a time bound manner; and (e) if not, the reasons therefor? .",2021-12-22,UNSTARRED,['Shiv Sena'],['Maharashtra'],['Mumbai-North-West'],['']
4076,Reduction in Grade Pay,"['Chahar, Shri Rajkumar']",TEXTILES,"Will the Minister of TEXTILES be pleased to state: (a) whether due to audit objection by Supreme Audit Institutions the grade pay of retired employees of Textile Committee was reduced from 7600 to 6600 and also the Government recovered excess payment from pensioners to the tune of Rs 1.37 crores and if so, the details thereof; (b) whether the Government is aware that Honble Supreme Court has given a verdict on 5/3/2020 against such reduction in grade pay and recovery on the case filed by the pensioners and if so, the details thereof; (c) whether DoPT has already agreed on increasing the grade pay and return of the excess payment to the pensioners; and (d) if so, the reasons for Ministry of Textiles not implementing the order of Honble Supreme Court?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Fatehpur Sikri'],['']
4077,Government Jobs,"['Kumar, Shri Kaushalendra']",PRIME MINISTER,"Will the PRIME MINISTER be pleased to state: (a) the number of youths who have been provided Government jobs in various Government Departments by the Government during the last five years; (b) whether the number of educated unemployed is increasing continuously as regular recruitment for Government jobs is not being done; (c) whether lakhs of applications are being received for small number of vacancies or posts and the number of those with qualifications much higher than the standard qualifications is very huge and if so, the details thereof; (d) whether most of the appointments which go through the court process and get stuck in the courts for years and this also obstructs the appointments within stipulated time; and (e) the State-wise number of educated unemployed in the country?",2021-12-22,UNSTARRED,['Janata Dal (United)'],['Bihar'],['Nalanda'],['']
4078,Contractors in MTNL,"['Sawant, Shri Arvind Ganpat']",COMMUNICATIONS,"Will the Minister of COMMUNICATIONS be pleased to state: (a)whether it is true that frequently the contractors are being changed in MTNL and if so, the details thereof; (b) whether the contractors are providing prompt services and if so, the details thereof; 755 (c) whether the services of MTNL is drastically deteriorating day by day and if so, the details thereof; (d) whether any fresh recruitment is carried out in MTNL in Mumbai and Delhi; and (e) if not, whether there are any such plans of recruitment in future?",2021-12-22,UNSTARRED,['Shiv Sena'],['Maharashtra'],['Mumbai-South'],['']
4079,Pending Recruitment of RRB,"['Beniwal, Shri Hanuman']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) the details of the recruitments advertised by the Railway Recruitment Boards (RRBs) along with the category of recruitments and the personnel/officers who have been selected and appointed through the said recruitments during the last five years, year/number/ designation-wise; (b) whether various categories of posts created at present in the railways will be effected due to the privatization done/being done in different areas of operations since new recruitments are not likely to be done; (c) if so, the details of the posts so affected presently and likely to be affected in the coming years; and (d) the details of the pending recruitments of RRBs and the reasons for the pendency?",2021-12-22,UNSTARRED,['Rashtriya Loktantrik Party'],['Rajasthan'],['Nagaur'],['']
4080,Beautification of Railway Stations,"['Bhagat, Shri Sudarshan']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) whether increase in railway facilities, development and beautification of railway stations, etc. have taken place on a large scale across the country; (b) if so, the details thereof; and (c) the details of the developmental works carried out at Lohardaga railway station?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Jharkhand'],['Lohardaga'],['ST']
4081,Lightning Strikes and Climate Change,"['Singh, Shri Brijendra']",EARTH SCIENCES,"Will the Minister of EARTH SCIENCES be pleased to state: (a) the percentage increase in lightning strikes each year since 2018; (b) whether an inquiry has been conducted regarding a possible correlation between increase in lightning strikes and climate change; . (c) if so, the findings thereof; and (d) the action taken by the Government in this regard?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Haryana'],['Hisar'],['']
4082,Development of Handloom Sectorin NER,"['Sangma, Smt. Agatha K.']",TEXTILES,"Will the Minister of TEXTILES be pleased to state: (a) whether there has been any initiative to improve and develop handloom sector, where over 50,000 weavers have been affected due to Covid-19 lockdown in entire North Eastern Region (NER); (b) if so, whether the Government is working on any measures for providing financial help to these handloom workers; (c) whether the Government is providing any relaxation in GST on various materials used in the cottage industry; and (d) if so, the details thereof?",2021-12-22,UNSTARRED,"[""National People's Party""]",['Meghalaya'],['Tura'],['ST']
4083,Eligible Consumers,"['Damor, Shri Guman Singh']","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION","Will the Minister of CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION , be pleased to state: (a) the steps being taken to make the Public Distribution System effective; (b) the interval at which the survey of eligible consumers under the said system is done; (c) the process of adding names to the eligibility list; and (d) whether priority to the eligible persons belonging to Scheduled Castes/Scheduled Tribes is accorded while giving ration under the said system and if so, the details thereof?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Madhya Pradesh'],['Ratlam'],['ST']
4084,Biharganj-Kursela Rail Project,"['Gangwar, Shri Santosh Kumar']",RAILWAYS,Will the Minister of RAILWAYS be pleased to state: (a) the date on which the foundation was laid for the new railway project of Bihariganj-Kursela; (b) the length of the said railway line; (c) the amount released for the said ambitious railway project so far; and (d) the reasons for delay in its implementation? 756,2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Bareilly'],['']
4085,Potential of ODOP,"['Kaushik, Shri Ramesh Chander', 'Mahato, Shri Jyotirmay Singh']",COMMERCE AND INDUSTRY,"Will the Minister of COMMERCE AND INDUSTRY be pleased to state: (a) whether the objective of the Government is to realize true potential of a district, fuel economic growth and generate employment and rural entrepreneurship under One District One Product (ODOP); (b) if so, the details of the districts identified in this regard in West Bengal, Haryana and other States; (c) the details of the criteria or guidelines to select districts under the said scheme; (d) the details of the special benefits being provided to the identified district by the Government; (e) whether Purulia district of West Bengal has been selected under the said scheme and if not, the reasons therefor; and (f) whether Purulia district can be selected under the said scheme in the future and if so, the details thereof as on date?",2021-12-22,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Haryana', 'West Bengal']","['Sonipat', 'Purulia']","['', '']"
4086,5G Technology,"['Dubey, Dr. Nishikant']",COMMUNICATIONS,"Will the Minister of COMMUNICATIONS be pleased to state: (a) whether the Government has taken adequate steps to implement 5G technology across the country; (b) if so, the details thereof along with the time by when it is likely to be done; and (c) whether the Government proposes to provide modern communication services in all parts of the country including rural and tribal areas of Santhal Pargana of Jharkhand and if so, the details thereof?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Jharkhand'],['Godda'],['']
4087,SC/ST Employees in Central Government/ Departments,"['Pfoze, Dr. Lorho S.']",PRIME MINISTER,"Will the PRIME MINISTER be pleased to state: (a) whether it is a fact that SCs/STs are underrepresented in the Central Government and its PSUs; (b) if so, the details thereof detailing the representation of SCs/STs from Group B to Secretary level in comparison to the general/unreserved category in the Central Government, post-wise and category- wise; . (c) the details of representation of SCs/STs in the PSUs under the Central Government; and (d) the reasons for underrepresentation of such Groups and the steps taken/being taken by the Government to bridge the gap?",2021-12-22,UNSTARRED,['Naga Peoples Front'],['Manipur'],['Outer Manipur'],['ST']
4088,Theft in Trains,"['Jayakumar, Dr. K.']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state the number of incidents of burglary, theft, chain snatching, etc. of passengers that occurred since 2014, years-wise?",2021-12-22,UNSTARRED,['Indian National Congress'],['Tamil Nadu'],['Tiruvallur'],['SC']
4089,Food Grains Market,"['Vasava, Shri Mansukhbhai Dhanjibhai']",COMMERCE AND INDUSTRY,"Will the Minister of COMMERCE AND INDUSTRY be pleased to state: (a) the share of India in global food grains market as on date; (b) whether the Government is not prepared to deal with the competition in the global market due to declining export of foodgrains; (c) if so, the details thereof; and (d) the steps being taken by the Government to make India competitive in the global market under open market policy of World Trade Organisation?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Gujarat'],['Bharuch'],['']
4090,Rajdhani Express from Bhagalpur,"['Mandal, Shri Ajay Kumar']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) whether the Government is considering to operate Rajdhani Express and Shatabdi Express from Bhagalpur (Bihar) railway station; (b) if so, the time by when is it likely to be run and if not, the reasons therefor; (c) whether it is being considered to operate some more train services from district Bhagalpur (Bihar) in the coming days in view of the population/business activities, etc.; and (d) if so, the details thereof?",2021-12-22,UNSTARRED,['Janata Dal (United)'],['Bihar'],['Bhagalpur'],['']
4091,Incentives to Importers/Exporters,"['Chatterjee, Smt. Locket']",COMMERCE AND INDUSTRY,"Will the Minister of COMMERCE AND INDUSTRY 757 be pleased to state: (a) whether any trade facilitation programme or incentives are provided to importers/exporters with regard to customs and excise duty in the country; and (b) if so, the details thereof?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['West Bengal'],['Hooghly'],['']
4092,Debt due to Online Gambling,"['Reddy, Shri Anumula Revanth']",ELECTRONICS AND INFORMATION TECHNOLOGY,"Will the Minister of ELECTRONICS AND INFORMATION TECHNOLOGY be pleased to state: (a) whether the Government is aware of the series of suicides in Telangana due to mounting debt created by online Rummy games and if so, the details of the action taken thereon; and (b) whether the Government is considering completely banning online gambling or partially regulating it and if so, the details thereof?",2021-12-22,UNSTARRED,['Indian National Congress'],['Telangana'],['Malkajgiri'],['']
4093,Wood based Industries,"['Devi, Smt. Rama']",COMMERCE AND INDUSTRY,"Will the Minister of COMMERCE AND INDUSTRY be pleased to state: (a) whether there exists a plethora of opportunities in the wood based industry in the country if so, the details thereof; (b) whether wood based industries have not been setup in commensurate with the production of wood in the country; and (c) if so, the response of the Government thereto?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Bihar'],['Sheohar'],['']
4094,Vande Bharat Express to New Delhi,"['Kushawaha, Shri Ravindra', 'Shukla, Shri Ravi Kishan']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) whether the Ministry has received any proposal to operate Vande Bharat Express from Gorakhpur to New Delhi; (b) if so, the details thereof; and (c) the time by when operation of the said train is likely to commence?",2021-12-22,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Uttar Pradesh', 'Uttar Pradesh']","['Salempur', 'Gorakhpur']","['', '']"
4095,National Mineral Exploration Trust,"['Mahant, Smt. Jyotsna Charandas']",MINES,"Will the Minister of MINES be pleased to state: (a) the manner in which regional and detailed exploration projects for minerals are initiated under National Mineral Exploration Trust (NMET); . (b) the details of name/phase-wise list of projects, minerals and total estimated cost of these projects; (c) the manner in which the date of submission of project report, the names of concerned mineral blocks to be auctioned and the date of auction is intimated to/by the State Government; (d) the year-wise total number of major mineral blocks kept in auction for mining lease and prospecting licence-cum-mining along with the total number of successful auctions since the year 2015; and (e) the year-wise total number of major mineral blocks given for mining lease and prospecting licence before the auction system from the year 2010 to 2014 as per the records of Indian Bureau of Mines?",2021-12-22,UNSTARRED,['Indian National Congress'],['Chhattisgarh'],['Korba'],['']
4096,Land Acquisiton by CIL,"['Dhanorkar, Shri Balubhau Narayanrao (Alias Suresh)']",COAL,"Will the Minister of COAL be pleased to state: (a) whether the Coal India Limited (CIL) and its subsidiary companies are facing problems in land acquisition for new coal mine project and expansion project; (b) if so, the details of the obstacles being faced by CIL and its subsidiary companies in land acquisition; (c) whether there is a demand for a suitable amendment in the Coal Bearing Areas (Acquisition and Development) Act, 1957 with regard to land acquisition; (d) if so, whether the Government has taken a decision to carry out an amendment in the Coal Bearing Areas (Acquisition and Development) Act, 1957 to make it suitable and relevant; (e) if so, the details thereof; and (f) if not, the reasons therefor?",2021-12-22,UNSTARRED,['Indian National Congress'],['Maharashtra'],['Chandrapur'],['']
4097,Extension of Train upto Jainagar,"['Yadav, Shri Ashok Kumar']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) whether the Government proposes to extend the long distance trains which run to darbhanga junction of Samastipur railway division upto Jaynagar junction in view of the rail facilities; (b) if so, the names of the long distance trains proposed to be included in it; and (c) the time by when it is likely to be implemented?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Bihar'],['Madhubani'],['']
4098,Vande Bharat Trains,"['Bidhuri, Shri Ramesh']",RAILWAYS,"Will the Minister of RAILWAYS 758 be pleased to state: (a) whether the Government proposes to introduce more Vande Bharat Trains in the country; and (b) if so, the details thereof along with the names of routes for running of Vande Bharat Trains?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['NCT of Delhi'],['South Delhi'],['']
4099,Five Year Plan,"['Banerjee, Shri Kalyan']",PLANNING,"Will the Minister of PLANNING be pleased to state: (a) whether it is a fact that since 2017 after the 12th Five Year Plan, Niti Aayog has stopped framing of five year broad way plan for transparent and objective mechanism of development of the Government; and (b) if so, whether the Government has received the 12th Five Year Report (2012-2017) from the then Planning Commission and if so, the details thereof; along with the reasons to stop the framework and the outline plan for overall development of the country?",2021-12-22,UNSTARRED,['All India Trinamool Congress'],['West Bengal'],['Serampore'],['']
4100,Number of Post Offices,"['Chauhan, Shri Nihal Chand']",COMMUNICATIONS,"Will the Minister of COMMUNICATIONS be pleased to state: (a) the total number of Post Offices in the country at present which do not have their own buildings along with the State/UT-wise details thereof including Rajasthan; (b) whether the Central Government has taken any steps to construct buildings for the Post Offices set up across the country; and (c) if so, the details thereof?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Rajasthan'],['Ganganagar'],['SC']
4101,Post Harvest Storage,"['Mohanty, Shri Anubhav']","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION","Will the Minister of CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION , be pleased to state: (a) whether infrastructure needed for post-harvest storage is highly inadequate in various States of the Country; (b) if so, the details thereof; (c) the details of financial loss incurred due to non- availability of post-harvest storage facilities for crops by the farmers in various parts of the country in the lost three years; (d) the additional measures taken by the Government to further develop the post-harvest infrastructure in order to minimize the loss incurred on an annual basis; . (e) whether the Minister would consider a Private Public Partnership (PPP) venture in order to develop the post-harvest infrastructure to take care of the loss in its absence; and (f) if so, the details thereof?",2021-12-22,UNSTARRED,['Biju Janata Dal'],['Odisha'],['Kendrapara'],['']
4102,Coach Factory in Latur,"['Shrangare, Shri Sudhakar Tukaram', 'Naik Nimbalkar, Shri Ranjeetsingh']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) the present status of the construction of coach factory in Latur, Maharashtra; (b) the targeted date for the completion of the construction work and beginning of production in the said factory along with the reasons for the delay in this regard; (c) whether the Government has received requests for setting up of a coach factory in Madha Parliamentary Constituency; (d) if so, the steps taken by the Government in this regard; and (e) the steps taken by the Government to ensure production of coaches from Latur coach factory at the earliest?",2021-12-22,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Maharashtra', 'Maharashtra']","['Latur', 'Madha']","['SC', '']"
4103,Volatility in Cotton and Yarn Prices,"['Maran, Thiru Dayanidhi']",TEXTILES,"Will the Minister of TEXTILES be pleased to state: (a) whether the Government has conducted an analysis of the situation of apparel manufacturers and/or held consultations with stakeholders about the impact of cotton and yarn price volatility and its impact on the prices of fabrics and garments, and if so, the details thereof; (b) the steps being taken to support MSME textile manufacturing units that are still recovering from the impact of the COVID 19 pandemic; (c) whether the Government is considering the removal of 11 per cent import duty levied on cotton and if so, the details thereof; (d) whether the Government is considering the revamp of the commercial terms and conditions prescribed by the Cotton Corporation of India (CCI) for e-auction of cotton by reducing the minimum lot size to 500 bales which is sustainable for the MSMEs and if so, the details thereof; and (e) whether the Government will extend the 5% interest subvention to the spinning mills towards procurement of cotton during peak season and if so, the details thereof? 759",2021-12-22,UNSTARRED,['Dravida Munnetra Kazhagam'],['Tamil Nadu'],['Chennai Central'],['']
4104,Setting up of Handicraft Complexes,"['Rawat, Shri Upendra Singh']",TEXTILES,"Will the Minister of TEXTILES be pleased to state: (a) whether the Union Government is providing assistance for setting up of handicraft complexes/ showrooms in the country; (b) if so, the details thereof indicating the places where these complexes/showrooms have been set up during each of the last three years including the current year, location-wise and State/UT-wise; including Lucknow and barabanki of Uttar Pardesh; (c) the details of the other places where new complexes/showrooms are proposed to be set up, State/ UT-wise including Uttar Pradesh; (d) whether a number of complexes/showrooms running on loans or assistance from Handicraft Board have since closed down and specially in Uttar Pradesh; and (e) if so,the details thereof and the remedial steps taken by the Government in this regard?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Uttar Pradesh'],['Barabanki'],['SC']
4105,Manipulation of rates by Traders,"['Firojiya, Shri Anil']",TEXTILES,"Will the Minister of TEXTILES be pleased to state: (a) whether any step has been taken by the Government to make people aware of the traders manipulating the rates and doing hoarding in order to get undue profit; (b) if so, the details thereof; (c) whether any permission for affecting the fixation of price for cotton bales has been accorded to; and (d) if so, the details thereof?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Madhya Pradesh'],['Ujjain'],['SC']
4106,National Retail Policy,"['Nishad, Shri Ajay']",COMMERCE AND INDUSTRY,"Will the Minister of COMMERCE AND INDUSTRY be pleased to state: (a) whether it is necessary for the betterment of businessmen as well as economy to streamline retail trade and maintain ease of doing business in the country; (b) if so, the details thereof and the reaction of the Government thereto; (c) whether the Government has formulated/proposes to formulate a National Retail Policy in this regard; and (d) if not, the details thereof?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Bihar'],['Muzaffarpur'],['']
4107,Dornakal-Miryalaguda Railway Line,"['Reddy, Shri Uttam Kumar Nalamada']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) whether a new field survey has been taken up on the railway line between Dornakal and Miryalaguda, connecting Nelakondapalli, Kodad, Huzurnagar and Neraducharla; (b) if so, the details thereof and the status of the survey so far; (c) if not, the reasons therefor; (d) the timeline for completion of the survey and work on the railway line alignment; and (e) the details of the funds allocated, disbursed and utilized so far for this project?",2021-12-22,UNSTARRED,['Indian National Congress'],['Telangana'],['Nalgonda'],['']
4108,Railway Ticket Reservation Counters,"['Kapoor, Shri Kishan']",RAILWAYS,"Will the Minister of RAILWAYS be pleased to state: (a) whether there is any proposal to set up Railway Ticket Reservation counters in such areas where rail reservation facilities are not available; (b) if so, the details thereof; (c) whether the Ministry is considering any proposal to establish Railway Ticket Booking Counters in Jwalamukhi, one of the aspirational districts of Himachal Pradesh, the headquarters of Chamba and one of the famous 52 Shakti Peeths of the country; and (d) if so, the details and action taken in this regard?",2021-12-22,UNSTARRED,['Bharatiya Janata Party'],['Himachal Pradesh'],['Kangra'],['']
4109,Digital Gram Yojana in Maharashtra,"['Rajenimbalkar, Shri Omprakash Bhupalsingh alias Pavan']",ELECTRONICS AND INFORMATION TECHNOLOGY,"Will the Minister of ELECTRONICS AND INFORMATION TECHNOLOGY be pleased to state: (a) the details of the salient features of Digital Gram Yojana; (b) the district-wise details of the funds sanctioned, allocated and utilized under the above said scheme so far in the State of Maharashtra, particularly in Osmanabad Parliamentary Constituency; (c) the details of the number of villages and districts covered under the above said scheme in the State of Maharashtra so far; (d) the details of the villages identified under the above said scheme in Osmanabad district of Maharashtra so far; (e) the details of the target fixed under the above said scheme and the achievements made so far; and (f) whether the Government proposes to cover more number of villages under the above said scheme and if so, the time by which the said villages are likely to be covered? 760",2021-12-22,UNSTARRED,['Shiv Sena'],['Maharashtra'],['Osmanabad'],['']
4110,Subsidy for Rubber Growers,"['Antony, Shri Anto']",COMMERCE AND INDUSTRY,"Will the Minister of COMMERCE AND INDUSTRY be pleased to state: (a) whether the Government has any statistics regarding subsidy given to the rubber growers in the country; (b) if so, the details of subsidy provided to the rubber growers in the country during the last ten years, year/State-wise along with the number of beneficiaries; (c) whether the Government has stopped/ discontinued subsidy for rubber growers; (d) if so, the details thereof and the reasons therefor; (e) whether the Government has any plans to restart the subsidy for rubber farmers; and (f) if so, the details thereof and the steps taken by the Government in this regard?",2021-12-22,UNSTARRED,['Indian National Congress'],['Kerala'],['Pathanamthitta'],['']
4111,Shakti  Scheme,"['Gao, Shri Tapir', 'Singh, Shri Lallu']",COAL,Will the Minister of COAL be pleased to state: (a) the main features of Shakti scheme including the present status of its implementation in the country along with the eligibility under the said scheme at present; and (b) the details of names of the States which are eligible under the said scheme at present?,2021-12-22,UNSTARRED,"['Bharatiya Janata Party', 'Bharatiya Janata Party']","['Arunachal Pradesh', 'Uttar Pradesh']","['Arunachal East', 'Faizabad']","['', '']"
4112,Formula for Coal Royalty,"['Borlakunta, Shri Venkatesh Netha', 'Reddy, Dr. Gaddam Ranjith', 'Pasunoori, Shri Dayakar', 'Maloth, Smt. Kavitha']",COAL,"Will the Minister of COAL be pleased to state: (a) the details of formula adopted to calculate royalty to be paid to States on coal; (b) the time by when the above formula was adopted and details of its revision along with the details of last revision; (c) the details of royalty to be paid to Telangana during the last ten years, year-wise; (d) whether any royalty is pending for payment to Telangana and if so, the details thereof; and (e) the time by which the pending dues are likely to be cleared? .",2021-12-22,UNSTARRED,"['Telangana Rashtra Samithi', 'Telangana Rashtra Samithi', 'Telangana Rashtra Samithi', 'Telangana Rashtra Samithi']","['Telangana', 'Telangana', 'Telangana', 'Telangana']","['Peddapalle', 'Chevella', 'Warangal', 'Mahabubabad']","['SC', '', 'SC', 'ST']"
